OTUs,Domain,Phylum,Class,Order,Family,Genus
C96,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C97,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C98,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C99,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,unclassified_Coriobacteriaceae
C100,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C101,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C102,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
C103,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tissierella
C104,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C105,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,unclassified_Clostridiales_Incertae_Sedis_XIII
C106,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C107,Bacteria,unclassified_Bacteria,,,,
C108,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,unclassified_Coriobacteriaceae
C109,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Anaerococcus
C110,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella
C111,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C112,Bacteria,unclassified_Bacteria,,,,
C113,Bacteria,Proteobacteria,unclassified_Proteobacteria,,,
C114,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum
C115,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C116,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella
C117,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C118,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C119,Bacteria,unclassified_Bacteria,,,,
C120,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella
C121,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C122,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
